ten_ram,loai_ram,dung_luong,thong_so,gia_vnd,link_hinh_anh,category
"RAM PC Corsair Vengeance LPX 16GB DDR4 Black | (1x16GB), 3200MHz, Intel/AMD CMK16GX4M1E3200C16",DDR4,16GB,16GB 3200MHz,3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance LPX 32GB DDR4 | (1x32GB), 3600MHz, Intel/AMD",DDR4,32GB,32GB 3600MHz,5999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance LPX 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMK8GX4M1E3200C16",DDR4,8GB,8GB 3200MHz,1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Aegis 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD F4-3200C16S-16GIS",DDR4,16GB,16GB 3200MHz,3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Aegis 16GB DDR5 | (1x16GB), 5200MHz, Intel/AMD",DDR5,16GB,16GB 5200MHz,5299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Aegis 8GB DDR3 | (1x8GB), 1600MHz, Intel/AMD F3-1600C11S-8GIS",DDR3,8GB,8GB 1600MHz,999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Aegis 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD F4-3200C16S-8GIS",DDR4,8GB,8GB 3200MHz,1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-RM5RK",DDR5,32GB,32GB 5200MHz,9999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 Black | (2x16GB), 6400MHz, Intel/AMD F5-6400J3648F16GX2-RM5RK",DDR5,32GB,32GB 6400MHz,11911000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 White | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-RM5RW",DDR5,32GB,32GB 5200MHz,10399000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD F5-6000J3636F16GX2-RM5RK",DDR5,32GB,32GB 6000MHz,10690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws M5 Special Edition 32GB RGB DDR5 White | (2x16GB), 6000MHz, Intel/AMD",DDR5,32GB,32GB 6000MHz,9999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws S5 16GB DDR5 | (1x16GB), 5600MHz, Intel/AMD F5-5600J4040C16GX1-RS5K",DDR5,16GB,16GB 5600MHz,5699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws S5 16GB DDR5 | (1x16GB), 6000MHz, Intel/AMD",DDR5,16GB,16GB 6000MHz,6599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws S5 24GB DDR5 Black | (1x24GB), 5200MHz, Intel/AMD",DDR5,24GB,24GB 5200MHz,7999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws S5 24GB DDR5 White | (1x24GB), 5200MHz, Intel/AMD",DDR5,24GB,24GB 5200MHz,8999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws S5 32GB DDR5 Black | (2x16GB), 6000MHz, Intel/AMD F5-6000J3636F16GX2-RS5K",DDR5,32GB,32GB 6000MHz,11111000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws V 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD F4-3200C16S-16GVK",DDR4,16GB,16GB 3200MHz,3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws V 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD",DDR4,8GB,8GB 3200MHz,1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Ripjaws V 8GB DDR4 | (1x8GB), 3600MHz, Intel/AMD F4-3600C18S-8GVK",DDR4,8GB,8GB 3600MHz,1950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z 32GB RGB DDR4 | (2x16GB), 3600MHz, Intel/AMD F4-3600C18D-32GTZR",DDR4,32GB,32GB 3600MHz,6620000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z Neo 32GB RGB DDR4 | (2x16GB), 3600MHz, Intel/AMD F4-3600C18D-32GTZN",DDR4,32GB,32GB 3600MHz,6520000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z Neo 64GB RGB DDR4 | (2x32GB), 3600MHz, Intel/AMD F4-3600C18D-64GTZN",DDR4,64GB,64GB 3600MHz,11711000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-TZ5RK",DDR5,32GB,32GB 5200MHz,11299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 White | (2x16GB), 6000MHz, Intel/AMD",DDR5,32GB,32GB 6000MHz,10599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-TZ5RS",DDR5,32GB,32GB 5200MHz,11999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 | (2x16GB), 5600MHz, Intel/AMD",DDR5,32GB,32GB 5600MHz,12300000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel Intel XMP/AMD EXPOMP F5-6000J3636F16GX2-TZ5RK",DDR5,32GB,32GB 6000MHz,12311000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD F5-6000J3636F16GX2-TZ5RS",DDR5,32GB,32GB 6000MHz,15999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD F5-6000J4040F16GX2-TZ5RS",DDR5,32GB,32GB 6000MHz,13999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 64GB RGB DDR5 | (2x32GB), 6000MHz, Intel/AMD F5-6000J3636F32GX2-TZ5RK",DDR5,64GB,64GB 6000MHz,23111000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 64GB RGB DDR5 | (2x32GB), 6000MHz, Intel/AMD F5-6000J3636F32GX2-TZ5RW",DDR5,64GB,64GB 6000MHz,23111000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC G.SKILL Trident Z5 Neo 24GB DDR5 | (1x24GB), 5600MHz, Intel/AMD",DDR5,24GB,24GB 5600MHz,7999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Evo Spear 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD GSB416GB3200C22SC",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Evo Spear 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD",DDR4,8GB,8GB 3200MHz,1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Orion 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD GOG416GB3200C16BSC",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Orion 8GB RGB DDR4 | (1x8GB), 3200MHz, Intel/AMD GOSG48GB3200C16BSC",DDR4,8GB,8GB 3200MHz,1850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Spear V 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD",DDR5,16GB,16GB 5200MHz,5099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Spear V 16GB DDR5 | (1x16GB), 6000MHz, Intel/AMD GASB516GB6000C38BSC",DDR5,16GB,16GB 6000MHz,5999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC GeIL Super Luce 8GB RGB DDR4 White | (1x8GB), 3200MHz, Intel/AMD GLWS48GB3200C16BSC",DDR4,8GB,8GB 3200MHz,1850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Gskill Trident Z5 RGB 16GB DDR5 | (1x16GB), 6000MHz, Intel/AMD F5-6000J3636F16GX1-TZ5RK",DDR5,16GB,16GB 6000MHz,5599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Hiksemi Armor 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD HSC416U32D2",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Hiksemi Armor 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD HSC416U32Z2",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Hiksemi Future 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD HSC416U32C2-16G",DDR4,16GB,16GB 3200MHz,2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
