ten_mainboard,hang,thong_so,gia_vnd,link_hinh_anh,category
"Mainboard ASUS Prime B650M-A/CSM Wifi DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B650M-A/CSM Wifi DDR5 | AM5, mATX, 4 khe RAM",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-A D4-CSM DDR4 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B760M-A D4-CSM DDR4 | LGA 1700, mATX, 4 khe RAM",2690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-A DDR4 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B760M-A DDR4 | LGA 1700, mATX, 4 khe RAM",2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-A DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B760M-A DDR5 | LGA 1700, mATX, 4 khe RAM",3480000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-F D4 DDR4 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B760M-F D4 DDR4 | LGA 1700, mATX, 4 khe RAM",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-F DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B760M-F DDR5 | LGA 1700, mATX, 4 khe RAM",2199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B760M-K DDR4 | LGA 1700, mATX, 2 khe RAM",ASUS,"Mainboard ASUS Prime B760M-K DDR4 | LGA 1700, mATX, 2 khe RAM",2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B840M-A DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B840M-A DDR5 | AM5, mATX, 4 khe RAM",4990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B840M-A Wifi DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B840M-A Wifi DDR5 | AM5, mATX, 4 khe RAM",5490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime H510M-K R2.0 DDR4 | LGA 1200, mATX, 2 khe RAM",ASUS,"Mainboard ASUS Prime H510M-K R2.0 DDR4 | LGA 1200, mATX, 2 khe RAM",1590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime H610M-K DDR4 | LGA 1700, mATX, 2 khe RAM",ASUS,"Mainboard ASUS Prime H610M-K DDR4 | LGA 1700, mATX, 2 khe RAM",1590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime Z790-P-CSM DDR5 | LGA 1700, ATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime Z790-P-CSM DDR5 | LGA 1700, ATX, 4 khe RAM",4290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Pro WS W680M-ACE SE DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Pro WS W680M-ACE SE DDR5 | LGA 1700, mATX, 4 khe RAM",9290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Crosshair X870E Glacial DDR5 | AM5, E-ATX, 4 khe RAM",ASUS,"Mainboard ASUS ROG Crosshair X870E Glacial DDR5 | AM5, E-ATX, 4 khe RAM",28990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Crosshair X870E Hero DDR5 | AM5, E-ATX, 4 khe RAM",ASUS,"Mainboard ASUS ROG Crosshair X870E Hero DDR5 | AM5, E-ATX, 4 khe RAM",18490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Maximus Z890 Apex Wifi DDR5 | LGA 1851, ATX, 2 khe RAM",ASUS,"Mainboard ASUS ROG Maximus Z890 Apex Wifi DDR5 | LGA 1851, ATX, 2 khe RAM",15590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Strix B860-A Wifi DDR5 | LGA 1851, ATX, 4 khe RAM",ASUS,"Mainboard ASUS ROG Strix B860-A Wifi DDR5 | LGA 1851, ATX, 4 khe RAM",6999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Strix X670E-A Gaming Wifi DDR5 | AM5, ATX, 4 khe RAM",ASUS,"Mainboard ASUS ROG Strix X670E-A Gaming Wifi DDR5 | AM5, ATX, 4 khe RAM",10390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Strix Z790-A Gaming II Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",ASUS,"Mainboard ASUS ROG Strix Z790-A Gaming II Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",7999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS ROG Strix Z890-I Gaming Wifi DDR5 | LGA 1851, Mini-ITX, 2 khe RAM",ASUS,"Mainboard ASUS ROG Strix Z890-I Gaming Wifi DDR5 | LGA 1851, Mini-ITX, 2 khe RAM",12090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B650M Plus DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B650M Plus DDR5 | AM5, mATX, 4 khe RAM",3690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B650M-E DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B650M-E DDR5 | AM5, mATX, 4 khe RAM",3349000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS TUF Gaming B650M-E Wifi DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS TUF Gaming B650M-E Wifi DDR5 | AM5, mATX, 4 khe RAM",3790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
