ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU Intel Core i3 12100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100 | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100 | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",4090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100F Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.5 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 13100F | LGA1700, 4 nhân/8 luồng, Max 4.5 GHz",Intel,"CPU Intel Core i3 13100F | LGA1700, 4 nhân/8 luồng, Max 4.5 GHz",2390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 14100F | LGA1700, 4 nhân/8 luồng, Max 4.7 GHz",Intel,"CPU Intel Core i3 14100F | LGA1700, 4 nhân/8 luồng, Max 4.7 GHz",2590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
CPU Intel Core i3-14100 Tray Chính Hãng ( No box),Intel,CPU Intel Core i3-14100 Tray Chính Hãng ( No box),3990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400 Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400 Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",3390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400 | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400 | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i5 10400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i5 10400F Tray VAT | LGA 1200, 6 nhân/12 luồng, Max 4.3 GHz",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
