ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
Thùng máy Case Magic GA-02 ATX - Trắng,Unknown,Thùng máy Case Magic GA-02 ATX - Trắng,449000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Magic Gaming GA-01 ATX - Đen,Unknown,Thùng máy Case Magic Gaming GA-01 ATX - Đen,819000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Magic Mix Tower Air - Trắng | Aio 240, hồ cá",Unknown,"Thùng máy Case Magic Mix Tower Air - Trắng | Aio 240, hồ cá",569000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case NZXT H3 Flow - Đen (CC-H31FB-01),NZXT,Thùng máy Case NZXT H3 Flow - Đen (CC-H31FB-01),1499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case NZXT H3 Flow - Trắng (CC-H31FW-01),NZXT,Thùng máy Case NZXT H3 Flow - Trắng (CC-H31FW-01),1499000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case OCYPUS Gamma C52 (Đen),Unknown,Thùng máy Case OCYPUS Gamma C52 (Đen),619000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Thermalright TL-M10 Vision LCD - Đen,Unknown,Thùng máy Case Thermalright TL-M10 Vision LCD - Đen,2200000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Thermalright TL-M10 Vision LCD - Trắng,Unknown,Thùng máy Case Thermalright TL-M10 Vision LCD - Trắng,2599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Thermaltake View 290 TG ARGB Snow | Trắng, sẵn 3 fan ARGB (CA-11G-00M6WN-00)",Thermaltake,"Thùng máy Case Thermaltake View 290 TG ARGB Snow | Trắng, sẵn 3 fan ARGB (CA-11G-00M6WN-00)",1999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Thermaltake View 290 TG ARGB | Đen, sẵn 3 fan ARGB (CA-11G-00M1WN-00)",Thermaltake,"Thùng máy Case Thermaltake View 290 TG ARGB | Đen, sẵn 3 fan ARGB (CA-11G-00M1WN-00)",1899000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
